model,vendor,family,arch,thinking,params_B,active_B,release_date,pen_acc,raw_acc,total,log10_params,log10_active,months,year_frac,date
glm-4.6-think,zhipu,glm,moe,True,357.0,32.0,2025-09-30,0.51,0.6357142857142857,,2.552668216112193,1.505149978319906,20.966666666666665,1.747222222222222,2025-09-30
deepseek-v3.1-nex-n1,nex-agi,deepseek,moe,False,671.0,37.0,2025-11-01,0.3685714285714286,0.38142857142857145,,2.826722520168992,1.568201724066995,22.0,1.8333333333333333,2025-11-01
olmo-3.1-32b,allenai,olmo,dense,False,32.0,32.0,2025-11-20,0.30107142857142855,0.37285714285714283,,1.505149978319906,1.505149978319906,22.633333333333333,1.886111111111111,2025-11-20
intellect-3-think,prime-intellect,intellect,moe,True,106.0,12.0,2025-11-27,0.3289285714285714,0.4785714285714286,,2.0253058652647704,1.0791812460476249,22.866666666666667,1.9055555555555557,2025-11-27
nemotron-3-nano-30b,nvidia,nemotron,moe,False,30.0,3.0,2025-12-15,0.30892857142857144,0.40714285714285714,,1.4771212547196624,0.47712125471966244,23.466666666666665,1.9555555555555555,2025-12-15
mimo-v2-flash,xiaomi,mimo,moe,False,309.0,15.0,2025-12-16,0.45321428571428574,0.555,,2.4899584794248346,1.1760912590556813,23.5,1.9583333333333333,2025-12-16
mimo-v2-flash-think,xiaomi,mimo,moe,True,309.0,15.0,2025-12-16,0.45178571428571423,0.5507142857142857,,2.4899584794248346,1.1760912590556813,23.5,1.9583333333333333,2025-12-16
glm-4.7-flash-think,zhipu,glm,moe,True,30.0,3.0,2025-12-22,0.3653571428571429,0.47928571428571426,,1.4771212547196624,0.47712125471966244,23.7,1.9749999999999999,2025-12-22
glm-4.7-think,zhipu,glm,moe,True,358.0,32.0,2025-12-22,0.5507142857142857,0.6571428571428571,,2.5538830266438746,1.505149978319906,23.7,1.9749999999999999,2025-12-22
kimi-k2.5-think,moonshot,kimi,moe,True,1040.0,32.0,2026-01-27,0.6439285714285715,0.6835714285714286,,3.0170333392987803,1.505149978319906,24.866666666666667,2.0722222222222224,2026-01-27
step-3.5-flash-think,stepfun,step,moe,True,197.0,11.0,2026-01-29,0.46571428571428575,0.595,,2.294466226161593,1.0413926851582251,24.933333333333334,2.077777777777778,2026-01-29
glm-5-think,zhipu,glm,moe,True,744.0,40.0,2026-02-11,0.5682142857142857,0.6578571428571428,,2.8715729355458786,1.6020599913279623,25.333333333333332,2.111111111111111,2026-02-11
qwen3.5-0.8b,alibaba,qwen,dense,False,0.8,0.8,2026-02-16,0.04642857142857143,0.07285714285714286,,-0.09691001300805639,-0.09691001300805639,25.5,2.125,2026-02-16
qwen3.5-397b-a17b-think,alibaba,qwen3.5,moe,True,397.0,17.0,2026-02-16,0.48892857142857143,0.5842857142857143,,2.598790506763115,1.2304489213782739,25.5,2.125,2026-02-16
qwen3.5-27b-think,alibaba,qwen3.5,dense,True,27.0,27.0,2026-02-24,0.3603571428571429,0.4657142857142857,,1.4313637641589874,1.4313637641589874,25.766666666666666,2.147222222222222,2026-02-24
qwen3.5-122b-a10b-think,alibaba,qwen3.5,moe,True,122.0,10.0,2026-02-24,0.48321428571428576,0.5585714285714286,,2.0863598306747484,1.0,25.766666666666666,2.147222222222222,2026-02-24
qwen3.5-35b-a3b-think,alibaba,qwen3.5,moe,True,35.0,3.0,2026-02-24,0.37357142857142855,0.47714285714285715,,1.5440680443502757,0.47712125471966244,25.766666666666666,2.147222222222222,2026-02-24
qwen3.5-9b-think,alibaba,qwen3.5,dense,True,9.0,9.0,2026-03-02,0.30142857142857143,0.3921428571428571,,0.9542425094393249,0.9542425094393249,26.033333333333335,2.1694444444444447,2026-03-02
